english_name,arabic_name,latitude,longitude,found_name,address
قويسنا,Quesna,30.5478994,31.1396195,محطة قطار قويسنا,"Madinet Qewaisna, Qewaisna, Menofia Governorate 6142963, Egypt"
بنها,Banha,30.4558513,31.1806955,Benha railway station,"Qism Banha, Banha, Al-Qalyubia Governorate 6460301, Egypt"
شبرا الخيمة,Shobra Khemah,30.1224317,31.2445379,Shubra El-Kheima,"Begam, Shubra El Kheima 2, Al-Qalyubia Governorate 6210316, Egypt"
الجيزة,Giza,30.0092238,31.2079466,El Giza Station,"2655+M5R, Al Omraneyah Ash Sharqeyah, El Omraniya, Giza Governorate 3724110, Egypt"
بني سويف,Beni Suef,29.0760503,31.094774,Beni Suef,"Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2720482, Egypt"
مغاغة,Maghagha,28.6494067,30.8385785,محطة قطارات مغاغه,"Madinet Maghaghah, Maghagha, Minya Governorate 2547501, Egypt"
المنيا,Minya,28.0968517,30.7540305,Minya Railway Station,"ميدان المحطة، المحطة, Minya, Minya Governorate 2451101, Egypt"
ملوي,Mallawi,27.7330074,30.8499698,محطة قطار ملوي,"PRMX+6X5, AR Rayramoun, Mallawi, Minya Governorate 2344101, Egypt"
اسيوط,Asyut,27.180062,31.1881995,Assiut Railway Station,"El-Helaly, Al Hamraa Ath Thaneyah, Asyut 1, Assiut Governorate 2073066, Egypt"
سوهاج,Sohag,26.5512725,31.69893759999999,Sohag Railways Station,"HM2X+GHH, شارع والورشة, El-Khouly, Sohag 1, Egypt"
نجع حمادي,Nagaa Hammadi,26.0435342,32.2409302,Nag Hammadi,"Madinet Najaa Hammadi, Nag Hammadi, Qena Governorate 1554010, Egypt"
قنا,Qena,26.1622143,32.7272833,Qena Railway Station,"Al Mahatta, قسم قنا، Qena, Qena Governorate 1461122, Egypt"
الاقصر,Luxor,25.6965585,32.644726,Luxor Railway Station,"Luxor City, Luxor, Luxor Governorate 1362367, Egypt"
ادفو,Edfu,24.978548,32.8758199,Edfu,"Adfo, Edfo, Aswan Governorate 1291266, Egypt"
كوم امبو,Kom Ombo,24.4768122,32.9472276,Kom Ombo Railway Station,"كوم امبو، كوم أمبو، مركز كوم أمبو، اسوان, Aswan Governorate, Egypt"
كفر الدوار,Kafr Dawar,31.132576,30.1302577,محطة قطار كفر الدوار,"44MJ+24J, Real Way, Monshaat Al Awqaf, Kafr El Dawwar, Beheira Governorate 5912103, Egypt"
ابو حمص,Abo Homos,31.0849053,30.3098234,Abu Hommos station,"38M5+XW8، الجرن، مركز أبو حمص،, Markaz Abu Humus, Beheira Governorate, Egypt"
التوفيقية,Tawfiqiah,30.8161827,30.7480033,محطة قطار التوفيقية,"RP8X+F6C، ميت حبيش البحرية، طنطا، الغربية،، زبيدة، مركز إيتاى البارود، البحيرة،, Itay El Barud, Egypt"
ابو مشهور,Abo Mashhour,31.0849053,30.3098234,Abu Hommos station,"38M5+XW8، الجرن، مركز أبو حمص،, Markaz Abu Humus, Beheira Governorate, Egypt"
عرب الرمل,Arab Raml,31.2013546,29.9010136,El Raml Station,"Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5372045, Egypt"
سندنهور,Sandanhour,30.4120702,31.1880022,Sandanhour station,"Sandanhour, Banha, Al-Qalyubia Governorate 6480151, Egypt"
طوخ,Toukh,30.3514951,31.1979016,Toukh station,"952X+H5R، مدينة طوخ, Toukh, Al-Qalyubia Governorate 6440410, Egypt"
قها,Qaha,30.2850875,31.2083921,Qaha Train Station,"76P5+29J، شارع بور سعيد، مدينة قها، مركز طوخ، القليوبية،، مدينة قها، قها، القليوبية،, Qaha, Egypt"
قليوب,Qalyoub,30.1808438,31.2253734,محطة قطار قليوب المحطة,"Qalyub, مدينة قليوب، قليوب، القليوبية،, Qalyub, Egypt"
ديروط,Dayrout,27.5596296,30.8128271,محطة ديروط,"HR57+V44، ديروط الشريف، مركز ديروط،, Dairut, Assiut Governorate, Egypt"
ابو تيج,Abo Tij,27.0444795,31.31449839999999,Abou Tig Railway Station,"28V7+QQX، محمد باشا محمود، ASSYOUT, Abu Tig, Assiut Governorate 2043001, Egypt"
طما,Tima,26.9053005,31.4317993,محطه قطار طما,"WC4J+4PF، اسيوط - سوهاج الصحراوى الغربى، سلامون، مركز طما، سوهاج،, Tima, Egypt"
طهطا,Tahta,26.7681664,31.5055968,Tahta Railway Station,"QG94+77C، عرب بخواج، مركز طهطا،, Tahta, Sohag Governorate, Egypt"
المراغة,Maragha,26.6961326,31.6026414,محطة المراغة,"MJW3+F32، المراغة، مركز المراغة،, El Maragha, Sohag Governorate, Egypt"
جرجا,Girga,26.3374136,31.8888655,Gerga Station,"8VPQ+XG9, Gerga, Sohag Governorate 1632201, Egypt"
البلينا,Balyana,26.2347296,31.9971666,محطة البلينا,"6XMW+VVV، شارع المحطة, Al Balena, El Balyana, Sohag Governorate 1616022, Egypt"
فرشوط,Farshut,26.0581775,32.1655924,محطة قطار فرشوط,"3558+76G, Al Asirat, Farshut, Qena Governorate 1572802, Egypt"
دشنا,Dishna,26.123184,32.4618088,محطة سكة حديد مصر بدشنا,"4FF6+7PF، المحطة، مدينة دشنا، دشنا،, Dishna, Qena Governorate, Egypt"
قوص,Qus,25.9154235,32.7584331,محطة قوص,"WQ85+HVG, Madinet Qaws, Qus, Qena Governorate 1431401, Egypt"
ارمنت,Armant,25.5817581,32.5061658,محطة أرمنت,"HGJ4+PF3, Cairo - Aswan Eastern Desert Rd, Al Odeisat, Luxor, Luxor Governorate 1352112, Egypt"
اسنا,Esna,25.3099697,32.5706004,Esna Railway Station,"8H5C+X6Q، الدير، إسنا،, Esna, Luxor Governorate, Egypt"
السباعية,Sibaiyyah,25.1991477,32.7008426,محطة سكة حديد السباعيه,"5PX2+M8H، قنا - إدفو، الشراونة، مركز إدفو، أسوان،, Edfo, Egypt"
صدفا,Sidfa,26.9644391,31.3761287,Sidfa Train Station,"X97G+QFC, Sodfa, Assiut Governorate 2032402, Egypt"
دروة,Derwah,24.4050004,32.9273139,Daraw Railway Station,"El-Abaseya, Draw, Aswan Governorate 81631, Egypt"
الواسطى,Wasta,29.33796169999999,31.2046537,محطة قطارات الواسطي,"86Q4+539, Madinet Al Wasta, El Wasta, Beni Suef Governorate 2757410, Egypt"
ببا,Biba,28.919462,30.97782969999999,Biba,"Madinet Beba, Biba, Beni Suef Governorate 2655217, Egypt"
الفشن,Fashn,28.8231601,30.9035808,El-Fashn,"Gazirat Al Wakliyah, Al Fashn, Beni Suef Governorate 2626901, Egypt"
بني مزار,Beni Mazar,28.4950757,30.8065249,محطة قطار بنى مزار,"Madinet Bani Mazar, Beni Mazar, Minya Governorate 2536201, Egypt"
ابو قرقاص,Abo Qurqas,27.930532,30.8384762,Abu Qurqas,"Abu Qurqas, Abu Qirqas, Minya Governorate, Egypt"
دير مواس,Dayr Mawas,27.6413455,30.85805999999999,Deir Mawas railway station محطة قطارات ديرمواس,"JVR5+G6M, Nazlet Muhammad Samhan, Deir Mawas, Minya Governorate 2326060, Egypt"
القوصية,Qusiyyah,27.4382322,30.83316659999999,محطة القوصية,"CRQM+77J، القوصية، فزارة، مركز القوصية، أسيوط،، فزارة، مركز القوصية، أسيوط،, El Qusiya, Egypt"
منفلوط,Manfalut,27.30768,30.9652609,Manfalut,"Manfalout, Manfalut, Assiut Governorate 2125220, Egypt"
ابو تشت,Abo Tesht,26.1165817,32.0955521,محطه قطار مركز ابوتشت,"438W+J6M, Madinet Abu Tesht, Abu Tesht, Qena Governorate 1584113, Egypt"
المنشأة,Monshaa,26.4761673,31.7967671,El-Monshaa,"Al Monshaah, Sohag Governorate 1665295, Egypt"
قفط,Qift,25.9940156,32.8008735,Qift,"Madinet Qaft, Qift, Qena Governorate 1440512, Egypt"
سلوا,Silwa Bahari,24.735971,32.93793,Silwa Bahari Railway Station,"PWPQ+95M, Markaz Kom Ombo, Aswan Governorate 1288111, Egypt"
كلابشة,Kalabsha,24.6238012,32.9497683,(محطة قطار كلابشة) Kalabshah Railway Station,"JWFX+VJC, Al Alaqi, Nasr, Aswan Governorate 1277810, Egypt"
دراو,Daraw,24.4050004,32.9273139,Daraw Railway Station,"El-Abaseya, Draw, Aswan Governorate 81631, Egypt"
مطاي,Matay,28.0968517,30.7540305,Minya Railway Station,"ميدان المحطة، المحطة, Minya, Minya Governorate 2451101, Egypt"
سملوط,Samalut,28.3109027,30.7139744,محطة قطارات سمالوط,"سمالوط، مدينة سمالوط، سمالوط، المنيا،, Egypt"
تلا,Tala,30.6780396,30.944803,Railway Station,"MWHR+J93, Ahmed Oraby, Madinet Tala, Tala, Menofia Governorate 6153846, Egypt"
البتانون,Batanun,30.6161671,30.9654862,محطة سكة حديد البتانون,"JX88+F59, Al Batanoun WA Hessateha, Shibin el Kom, Menofia Governorate 6124280, Egypt"
شبين الكوم ج,Shebeen Kom N,30.5535902,31.0050248,Railway Shebin City Station,"Qism Shebeen El-Kom, Shebeen El-Kom,, Qism Shebeen El-Kom, Shibin el Kom, Menofia Governorate, Egypt"
شبين الكوم ق,Shebeen Kom O,30.5535902,31.0050248,Railway Shebin City Station,"Qism Shebeen El-Kom, Shebeen El-Kom,, Qism Shebeen El-Kom, Shibin el Kom, Menofia Governorate, Egypt"
شنوان,Shanawan,30.44207909999999,30.9174096,محطة قطار كفر السنابسة Train station,"CWR8+RXM, Madinet Menuf, Menouf, Menofia Governorate 6042555, Egypt"
الحامول,Hamoul,30.4787083,30.9732131,محطة سكة حديد الحامول,"FXHF+G73, Port Said, El-Hamoul, Menouf, Menofia Governorate 6047170, Egypt"
منوف,Minuf,30.4628923,30.9385594,Menouf Train Station,"Al Mahata Al Kadema, Madinet Menuf, Menouf, Menofia Governorate 6053110, Egypt"
سمادون,Samadun,30.3344067,30.9574037,Railway station Smadun,"8XM4+QX6, Samadoun, Ashmoun, Menofia Governorate 6036010, Egypt"
اشمون,Ashmun,30.29872199999999,30.979408,محطة قطارات أشمون,"Abdel Moneim Riad St, Madinet Ashmoun, Ashmoun, Menofia Governorate 6022737, Egypt"
الحلواصي,Hilwasi,30.2509381,31.0560411,محطة قطار الحلواصي البلد,"Al Helwasi, Ashmoun, Menofia Governorate 6030330, Egypt"
الحلواصي البلد,Hilwasi B,30.2509381,31.0560411,محطة قطار الحلواصي البلد,"Al Helwasi, Ashmoun, Menofia Governorate 6030330, Egypt"
شطانوف,Shatanof,30.44207909999999,30.9174096,محطة قطار كفر السنابسة Train station,"CWR8+RXM, Madinet Menuf, Menouf, Menofia Governorate 6042555, Egypt"
القناطر ج,Qanatir N,30.1956494,31.1339222,El Kanater El Khayria Train Station,"54WM+7H3, block_st14_13, Madinet Al Qanater Al Khayreyah, El Qanater El Khayreya, Al-Qalyubia Governorate 6404141, Egypt"
قليوب البلد,Qalyoub B,30.1814655,31.204697,محطة قطار قليوب البلد,"56J3+HVP، قليوب - القناطر الخيرية، مدينة قليوب، قليوب، القليوبية،, Qalyub, Egypt"
العياط,Ayat,29.6201719,31.2556475,El-Aiat,"Madinet Al Ayat, El Ayyat, Giza Governorate 3325524, Egypt"
العسيرات,Usayrat,26.3913398,31.82018009999999,محطة العسيرات,"9RRC+G3P, شارع البلد, Awlad Hamza, Aserat, Sohag Governorate 1655119, Egypt"
الشراونة,Sharawnah,25.2208477,32.6710362,محطة الشراونة,"6MCC+8CM, Qena - Edfo, Ash Sharawnah, Edfo, Aswan Governorate 1297551, Egypt"
المحاميد,Mahamid,25.1340054,32.7780033,El Mahamid Railway Station,"4QMH+J62, Al Hagz Qebli, Edfo, Aswan Governorate 1294710, Egypt"
كاجوج,Kajuj,24.6697189,32.9472217,محطة قطار الكاجوج,"MW9W+VVP، MW9W+VVQ، كلابشة،, Markaz Kom Ombo, Aswan Governorate 1288006, Egypt"
اسوان,Aswan,24.0998701,32.902257,Aswan Railway Station,"كورنيش النيل، أسوان مدينة اسوان ثاني اجمل مدن العالم ذي طابع فريد، 81511, Egypt"
الحوامدية,Hawamdeyya,29.8942953,31.2703259,El Hawamdeyya Train Station,"V7VC+P5C، الحوامدية،, El Hawamdeya, Giza Governorate, Egypt"
البدرشين,Badrshein,29.8230412,31.2710558,محطة قطار البدرشين,"R7FC+6C7، R7FC+7X،، أبو رجوان البحري،، مركز البدرشين،, Giza Governorate 3365310،, Egypt"
المزغونة,Mazghounah,29.8094163,31.2709361,El-Mazghona,"Al Maraziq, Badrshein, Giza Governorate 3363901, Egypt"
كفر عمار,Kafr Ammar,29.4992988,31.2350053,Kafr Amar,"Kafr Torki WA Kafr Tarkhan, El Ayyat, Giza Governorate 3318373, Egypt"
الميمون,Maymun,30.4628923,30.9385594,Menouf Train Station,"Al Mahata Al Kadema, Madinet Menuf, Menouf, Menofia Governorate 6053110, Egypt"
اشمنت,Ashmant,30.0653204,31.1887237,Bashtil - Upper Egypt train station,"Bashtil, Al Warak, Giza Governorate 3811001, Egypt"
ناصر,Nasser,29.1445321,31.1382527,محطة قطار ناصر,"44VQ+R79، مدينة ناصر, Nasser, Beni Suef Governorate 2747201, Egypt"
دماريس,Damaris,28.1254174,30.7418474,محطة دماريس,"4PGR+5P8, Qism Minya, Minya, Minya Governorate 2426810, Egypt"
منقباد,Manqabad,27.1954047,31.1127373,محطة منقباد,"شارع تحت السكة, Manqabad, Asyut, Assiut Governorate 2085101, Egypt"
المرازيق,Maraziq,30.0626726,31.2458461,Ramsis station,"Ramses, Al Fagalah, Al Azbakeya, Cairo Governorate 4321102, Egypt"
الرقة,Raqqah,31.2189328,29.9424796,Sidi Gaber Railway Station,"Abou Quer, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5433011, Egypt"
كوم أبو راضي,Kom Abo Rady,29.3326296,31.1422441,محطة قطارات كوم ابو راضي,"84MR+3V5, Abwit, El Wasta, Beni Suef Governorate 2754001, Egypt"
الورش,werash,30.0626726,31.2458461,Ramsis station,"Ramses, Al Fagalah, Al Azbakeya, Cairo Governorate 4321102, Egypt"
الروس,Rous,29.3439697,31.0715161,محطة قطار الروس,"83VC+HJ, El Wasta, Faiyum Governorate 2944911, Egypt"
الناصرية,Nasiriyah,31.0235633,46.2300664,An Nassiriya Train Station,"Nasiriyah, Dhi Qar Governorate, Iraq"
سيلا,Sila,29.3316217,30.973401,محطة سيلا,"8XJF+J9R، Unnamed Road, Al Basyouneyah, Faiyum, Faiyum Governorate 2948003, Egypt"
العدوة,Edwah,29.3412287,30.91583309999999,Train Station Adwa,"8WR8+F8W, Ezbet Abd Alnabi Hussein - Ezbet Ahmed Kleb, Al Edwah, Faiyum, Faiyum Governorate 2944363, Egypt"
عامرية الفيوم,Amereyat Fayoum,29.3089592,30.8476996,Fayoum Train Station,"El-Khalifa El-Maamoun, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2931004, Egypt"
ابا الوقف,Aba Wakf,28.5870904,30.77522189999999,ABA Al Wakf,"ABA Al Wakf, Maghagha, Minya Governorate, Egypt"
الروضة,Rawda,27.7974968,30.8617608,محطة الروضة,"QVW6+XPR, El-Rawda, Mallawi, Minya Governorate 2353134, Egypt"
برديس,Bardis,26.2836506,31.9443399,Station Pardis,"شارع نقطة شرطة برديس، برديس، مركز البلينا،، 7WMV+FP مركز البلينا, Sohag Governorate, Egypt"
ابو شوشة,Abo Shousha,26.1694439,32.0267624,Abu Shusha train station,"529G+QPC, Abou Shousha, Abu Tesht, Qena Governorate 1588870, Egypt"
الرديسية,Radisia,24.9040424,32.8799222,محطة قطار الرديسية,"AR Radiseyah Qebli, Edfo, Aswan Governorate 1294274, Egypt"
الرمادي,Ramadi,33.4121887,43.3197141,East of Ramadi Train Station,"Ramadi, Al Anbar Governorate, Iraq"
بورسعيد,Port Said,31.2602936,32.3009429,Port Said Railway Station,"7862+498، ميدان 15 مايو، حى الشرق، بور سعيد, Port Said Governorate 8571030, Egypt"
القنطرة غرب,Qantara Gharb,30.8567438,32.3141442,محطة قطار القنطرة غرب,"V847+MMR, El Qantara, Ismailia Governorate 8386733, Egypt"
الاسماعيلية,Ismailia,30.5930657,32.2702809,محطة قطار الاسماعيلية,"41511, Ismailia, 41511, Egypt"
ابو صوير,Abo Swer,30.56206509999999,32.1161816,Abusweir Railway station,"أبو صوير،، Ismailia Governorate 8333534, Egypt"
القصاصين,Qassasin,30.562586,31.9362554,محطة قطار القصاصين,"HW7P+2GJ، القصاصين، التل الكبير،, Al Kasasin Al Gadida, Ismailia Governorate, Egypt"
التل الكبير,Tal Kabeer,30.56305,31.7827117,Tell Al-Kabir train station,"التل الكبير, Tell El Kebir, Ismailia Governorate 8314522, Egypt"
ابو حماد,Abo Hammad,30.5362499,31.6779477,محطة قطار أبو حماد,"GMPH+G54، أبو حماد، كفر العزازي، مركز أبو حماد،، القطاوية، مركز أبو حماد، الشرقية،, Abu Hammad, Egypt"
الزقازيق,Zagazig,30.5825893,31.5020755,محطة قطارات الزقازيق,"برج ساعة المحطه، نفق السكه الحديد، يوسف، قسم ثان الزقازيق، الشرقية، وسط مدينة الزقازيق قريبه من الكورنيش بجوار، شارع فاروق, Al-Sharqia Governorate 44511, Egypt"
منية القمح,Menyet Qamh,30.5155926,31.3424549,Menia Al-Qamh Railway Station,"G88R+6XP، طريق بنها - الزقازيق، منيا القمح، مركز منيا القمح،, Markaz Minyā al Qamḩ, Al-Sharqia Governorate, Egypt"
المتانية,Matanyah,29.5708929,31.2516922,Al Mataneya,"Mataneya, Al, El Ayyat, Giza Governorate, Egypt"
الفيوم,Faiyum,29.3089592,30.8476996,Fayoum Train Station,"El-Khalifa El-Maamoun, Qesm Al Fayoum, First Al Faiyum, Faiyum Governorate 2931004, Egypt"
القطورى,Qotouri,30.96844,30.9593523,Qutour Train Station,"XX95+9PH, Madinet Qotour, Kotoor, Gharbia Governorate 6724732, Egypt"
الشيخ هارون,Sheikh Haroun,30.10137,31.33297,Haroun,"El-Nozha, El Nozha, Cairo Governorate 4470110, Egypt"
كيما,Kima,24.0682027,32.918248,محطة قطار كيما,"3W99+77Q, Halaieb - Aswan Rd, أسوان، ثان اسوان،، البحر الأحمر 1243103, Egypt"
الصداقة,Sadaka,24.0514023,32.9199777,محطة قطار الصداقة,"3W29+HX9، 3W2C+H3،، ثان اسوان،،, Aswan Governorate 1243001, Egypt"
سدس,Suds,31.2189328,29.9424796,Sidi Gaber Railway Station,"Abou Quer, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5433011, Egypt"
طحا البيشة,Taha Bishah,30.281027,31.2934789,Taha Noub Train Station,"Taha Nob, Shibin el-Qanater, Al-Qalyubia Governorate 6330451, Egypt"
طنسا,Tansa,29.0056817,31.0186684,محطة طنسا,"2249+7F8، طنا بني مالو، طنسا بني مالو، ببا،، طنسا بني مالو، ببا، محافظة بني سويف،, Biba, 2656401, Egypt"
الزيتون ق,Zaytoun Q,30.1138606,31.3141365,محطة مترو حلمية الزيتون - Helmeyat Alzaitoon subway station,"4877+GJV, El-Kamal, Helmeyat AZ Zaytoun, Ain Shams, Cairo Governorate 4540001, Egypt"
بني حدير,Beni Hidayr,29.2552305,31.1941266,محطة بني حدير,"754V+3MR, Al Wasta - Al Maymun, Nazlet Al Geneidi, El Wasta, Beni Suef Governorate 2756501, Egypt"
اطواب,Atwab,29.3877117,31.1962519,محطة اطواب,"طريق أسوان الزراعي الغربي، صفط الشرقية، مركز الواسطى، محافظة بني سويف،، الوسطي, Egypt"
ميت القايد,Mit Qayed,29.5313104,31.2521043,محطة ميت القايد,"G7J2+GRH، طريق أسوان الزراعي الغربي، العياط، الجيزة،, El Ayyat, Egypt"
البليدة,Blida,36.4786264,2.8161941,Blida Railway Station,"Blida, Algeria"
السد العالي,The High Dam,23.9752585,32.8975661,High Dam railway station,"XVGX+424، منطقة السد العالي، قسم أسوان،, Aswan 1, Aswan Governorate, Egypt"
المنصورة,Mansoura,31.0453964,31.3882888,Mansoura Train Station,"Gameat Al Dewal Al Arabiya St, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7660015, Egypt"
سندوب,Sandub,31.0160688,31.3930273,Train Station Sandoub,"El-Senbellawein - Mansoura Rd, Menyat Sandoub, El Mansoura, Dakahlia Governorate 7653001, Egypt"
شاوة,Shawah,30.5800076,32.173758,Allowasfih Train Station in Ismailia,"الواصفية على بعد 100 متر من الوحدة المحلية لمدينة الواصفية, Egypt"
البقلية,Baqliyyah,30.9593439,31.4217976,محطة قطار البقلية,"El-Senbellawein - Mansoura Rd, Al Baqleyah, El Mansoura, Dakahlia Governorate 7634020, Egypt"
الزريقي,Zurayqi,30.9372187,31.4329575,Alzoreiky Train Station,"El-Senbellawein - Mansoura Rd, AZ Zoreiqi, El Senbellawein, Dakahlia Governorate 7541866, Egypt"
شبرا قبالة,Shobra Qubala,30.9162049,31.4435647,محطة قطار شبرا قبالة,"El-Senbellawein - Mansoura Rd, Tanbarah, El Senbellawein, Dakahlia Governorate 7541823, Egypt"
السنبلاوين,Senbellawein,30.8841029,31.4616014,Railway station Sinbillawain,"شارع ترعة البوهية, El-Senbellawein City, El Senbellawein, Dakahlia Governorate 7541716, Egypt"
طرانيس العرب,Taranis Arab,30.8698583,31.503272,Taranis Al Arab,"Taranis Al Arab, El Senbellawein, Dakahlia Governorate, Egypt"
برقين,Barqin,30.855625,31.529481,محطة قطار برقين,"VG4H+7Q5, Kafr Saqr El-Senbellawein, Barqin, El Senbellawein, Dakahlia Governorate 7546302, Egypt"
هيكل باشا,Hikal Basha,30.8407132,31.5688048,محطه هيكل باشا,"RHR9+7GM، كفر غنام، السنبلاوين،, El Senbellawein, Dakahlia Governorate, Egypt"
ابو الشقوق,Abo Shuquq,26.1165817,32.0955521,محطه قطار مركز ابوتشت,"438W+J6M, Madinet Abu Tesht, Abu Tesht, Qena Governorate 1584113, Egypt"
بدوي,Badawy,30.8125992,31.610316,محطة قطار بدوى,"RJ76+24P، أبو الشقوق، Kafr Saqr, Al-Sharqia Governorate 7241594, Egypt"
كفر صقر,Kafr Saqr,30.7927833,31.62732399999999,Kafr Sakhr,"Amr Ibn El-Aas St, Monshaat Shalaby, Kafr Saqr, Al-Sharqia Governorate 7241334, Egypt"
البوها,Bouha,30.4558513,31.1806955,Benha railway station,"Qism Banha, Banha, Al-Qalyubia Governorate 6460301, Egypt"
نزلة الخيال,Nazlet Khayal,30.2207124,31.3605536,Al Khanka Train Station,"69C6+76X, El-Imam El-Ghazaly, Madinet Al Khankah, Al Khankah, Al-Qalyubia Governorate 6350506, Egypt"
ابو كبير,Abo Kibir,30.7270372,31.6684678,محطة سكك حديد أبوكبير,"PMG9+R98، Abu Kebeer, أبو كبير، مركز أبو كبير، الشرقية،, Abu Kabir, Egypt"
ابو ياسين,Abo Yassin,24.0998701,32.902257,Aswan Railway Station,"كورنيش النيل، أسوان مدينة اسوان ثاني اجمل مدن العالم ذي طابع فريد، 81511, Egypt"
شرشيمة,Shirshimah,30.6929658,31.6200431,محطة قطار شرشيمة,"MJVC+52F، Unnamed Road, Sharsheimah, Hihya, Al-Sharqia Governorate 7218720, Egypt"
هيها,Hihya,30.6708201,31.5902907,Hehia,"Hehya, Hihya, Al-Sharqia Governorate 7213270, Egypt"
العداوية,Adawyh,24.4050004,32.9273139,Daraw Railway Station,"El-Abaseya, Draw, Aswan Governorate 81631, Egypt"
كفر المسلمية,Kafr Msalamya,31.1095836,30.9393033,Kafr El-Sheikh Train Station,"محطه قطار كفرالشيخ، كفر الشيخ - طنطا، قسم كفر الشيخ،, Kafr El-Sheikh Governorate, Egypt"
هرية رزنة,Harayah Raznah,30.6061445,31.5330771,محطة هرية رزنة,"JG4M+C7J، محطة سكة حديد الزقازيق، ميدان عرابى، الزقازيق، الشرقية،, Zagazig, Egypt"
